all gray	could
yellow E	betel
yellow I	pilot
yellow R	truly
yellow R E	outer
yellow A	cloak
green A	tangy
yellow S	stunk
yellow R A	acorn
yellow A E	cleat
green E	lunge
green I	cling
yellow A S	stalk
yellow S E	spelt
yellow A green E	plate
yellow R green E	prove
yellow I E	widen
yellow A I	tidal
yellow S green I	stink
yellow R green I	print
green A E	cable
yellow R green A	party
yellow I green E	binge
yellow R S	short
green I E	utile
yellow R I	droit
yellow A green S	slash
yellow I S	stoic
green S E	loose
yellow E green A	navel
yellow S green A	salon
yellow E green R	ruler
yellow S green E	stone
green S	floss
yellow E green I	edict
yellow I green A	panic
yellow R green S	crust
yellow A green I	axion
green R	ruddy
yellow E green S	chess
green I S	hoist
green R A	randy
green A S	salsa
yellow I green S	tipsy
green A I	faint
green R E	rogue
yellow I green R	robin
yellow A green R	royal
yellow S green R	rusty
green R S	roost
green R I	rhino
